Key,SourceString,Comment
,,"Solargene游戏的官方本地版本。 更新游戏时，所有更改都会添加到末尾。 如果您想在本地化方面提供帮助，可以向以下邮箱发送邮件acmain@gmail.com ，我会给您编辑权限。
To localization contributors: Do not use half-width punctuation marks as it breaks the format and some text functions for the sheet. Please use full-width punctuation marks in the lines instead.
致游戏本地化的贡献者：不要使用半角标点符号，因为它会破坏表单的格式和某些文本功能。请使用全角标点符号。"
,,about
about,"这个游戏是由{author}所开发

在此游戏中使用了以下来源：
{sources}

版权信息：
{copyrights}",
,,
,,Mods
mod_sandbox,沙盒,
mod_station_earth,近地空间站,
mod_station_moon,近月空间站,
mod_all_allow,允许所有,
mod_all_researched,已完成全部,
mod_fuel_regeneration,燃料再生,
,,
,,common
accept,接受,
cancel,取消,
close,关闭,
exit,退出,
loading,加载中,
,,
,,main menu
menu_game,游戏,
menu_continue,继续,
menu_newGame,新游戏,
menu_mods,参数设置,
menu_language,语言 (Language),"(Language) added in order to, so that players who do not know Chinese can choose a different localization"
menu_video_settings,画面设置,
menu_about,关于游戏,
,,
,,video settings
video_windowMode,窗口模式,
video_fullScreen,全屏模式,
video_windowed,窗口,
video_fullscreenType,全屏类型,
video_maximizedWindow,窗口全屏,
video_nativeFullscreen,真全面屏,
video_displayResolution,分辨率,
video_3dResolution,屏幕比例,
video_frameRateLimit,帧率,
video_30FPS,30 帧/秒,
video_60FPS,60 帧/秒,
video_120FPS,120 帧/秒,
video_unlimited,无限制,
video_verticalSync,垂直同步,
video_overallQualityPreset,图形质量,
video_low,低,
video_medium,中,
video_high,高,
video_epic,极高,
video_custom,其他,
video_customQualitySettings,自定义图形,
video_viewDistance,视距,
video_near,近,
video_far,远,
video_visualEffects,视觉效果,
video_shadows,阴影,
video_textures,纹理,
video_postProcessing,动态模糊,
video_antiAliasing,抗锯齿,
video_foliage,植被,
video_autoDetect,自动检测最佳设置,
,,
,,character
char_characteristics,人物特征,
char_health,健康,
char_morale,情绪,
char_fatigue,疲劳,
char_hunger,饥饿,
char_wear,耗损,
char_charge,电量,
char_needs,需求,
char_relax_,休息,
char_now,当前行为 ,
char_command,命令,
char_none,无,
char_nowhereToSit,没地方坐,
char_wantsToSleep,想睡觉,
char_hungry,饥饿,
char_cantSeeAnything,我看不见了,
char_Ill,生病了,
char_itsHardToBreathe,快窒息了,
char_broken,坏了,
char_need_charge,需要充电,
,,
,,staff
staff,员工,
staff_newStaff,新员工,
staff_recruit,雇佣,
staff_buyRobot,购买机器人,
staff_buyFarmer,农夫,
staff_buyCook,厨师,
staff_relax_,休息,
,,
,,buy_robot
buy_robot_caption,购买机器人,
buy_robot_text,你确定要购买机器人?,
,,
,,robot_arrive
robot_arrive_caption,机器人正在赶来的路上,
robot_arrive_text,机器人将被运送到此近地空间站,
,,
,,build
build_dismantlingTooltip,拆除建筑物,
build_pillarsTooltip,支柱是设置在地面上，用来支撑建筑物和人行道的重量,
build_stairsTooltip,楼梯可以安装在户外和室内,
build_doorsTooltip,安装门。选择你想安装门的地方，然后点击鼠标左键。双击可以拆除,
build_floorTooltip,层板可以将场所隔成多层,
build_sectionTooltip,技术固定区块。重力的缺失由磁场进补充，用来创建着陆点、安装太阳能板、储存槽、天线和发动机,
build_whellTooltip,在居住区块，重力是通过围绕空间站轴旋转产生的,
build_axisTooltip,一个轴心将空间站各段相互连接,
build_solarPanelTooltip,太阳能板在白天发电,
build_batteryTooltip,电池利用白天积累的能量晚上给空间站供电。太阳耀斑会导致电池部分放电,
build_tankTooltip,液体和气体被储存在加压的密封罐中,
build_dockTooltip,穿梭对接枢纽,
build_thrusterToolip,需要调度引擎来定位空间站,
build_chemicalEngineTooltip,化学燃料发动机,
build_nuclearEngineTooltip,"核能发动机, 利用加热核内反应的流体",
build_recombinationEngineTooltip,"复合式发动机, 利用原子转化成分子的能量",
build_termonuclearEngineTooltip,"聚变发动机, 利用流体中产生的激波来加热等离子体，其中会发生热核聚变",
build_photonEngineTooltip,"光子发动机, 利用物质和反物质的湮灭过程产生动力",
build_required_,需要：,
build_caption,建造,
build_cages,在建造前必须指定不同类型（住宅区、仓储区等）,
build_walkway,人行横道的使用会使居民在建筑物之间的移动变得容易,
build_finish,完成建造,
,,
,,cargo
cargo_name,名称,
cargo_count,数量,
cargo_cost,价格,
,,
,,colony
colony_mineralResources,矿物,
colony_radiation,辐射,
colony_sunriseThrough,日出经过,
colony_sunsetThrough,日落经过,
colony_acceptColonists,接受新居民,
colony_reject,拒绝,
colony_newAvailable,新装备可用,
colony_goto,切换到空间站,
colony_shuttles,{count}穿梭于{period},
,,
,,places
place_hallway,走廊,
place_gateway,闸门,
place_apartment,住宅,
place_workshop,工业区,
place_cafe,饮食店,
place_mine,矿业,
place_farm,农业,
place_recreation,休闲娱乐,
place_storage,仓储,
place_power,发电厂,
place_hospital,医院,
place_laboratory,研究机构,
place_servers,服务网点,
place_teleport,枢纽,
,,
,,room
room_pressure,压力,
room_electricity,电力,
room_assignStaf,人员指派,
room_ceil,天花板,
room_floor,地板,
,,
,,storage
storage,仓库,
storage_availability,库存,
storage_production,生产,
storage_purchase,购买,
storage_sell,销售,
storage_throw,丢弃,
storage_post,转移,
,,
,,furniture
furniture,物件,
furniture_serviceability,良好性,
furniture_composition,组件：,
furniture_deconstruct,拆卸,
,,
,,events
events,警报,
event_notHappy,员工不高兴,
event_energy,能量不足以满足基地<b>当前</>的需求,
event_battery,能量不足以满足基地<b>日常</>的需求,
event_storage,仓库已满,
event_tank,液体和气体储存槽已满,
event_hungry,员工饿了,
event_oxygen,缺氧,
event_cantSit,员工没有地方可坐,
event_cantSleep,员工没有地方睡觉,
event_ill,员工生病了,
event_broken,机器人坏了,
event_radiation,太阳耀斑导致辐射量增加,
event_meteors,流星雨,
event_scientist,科研人员效率降低,
event_devices,科研设备效率降低,
event_computing,计算效率降低,
,,
,,state
state,警报,
state_colony,状态,
state_loyalty,如果殖民者不开心，可能原因是没有足够的休息室。幸福度为 0% 时，站点活动停止，直到新人员到达,
state_energy,没有足够的电力以应付基地<b>当前</>的需求。请建造更多的发电机,
state_battery,"当前电池电量：<b>{charge}%</>。
满足基地<b>每日</>（一个日/夜循环）的需求电量为：<b>{percent}</>。
在空地建造更多的电池和发电机，或者关闭当前不需要电力的地方",
state_storage,若仓库已满，则生产停止（不适用于液体和气体），建造更多的储物架。,
