Key,SourceString,Comment
,,"localisation officielle de Solargene. Avec les mises à jour du jeu, toutes les modifications sont ajoutées à la fin. Si vous voulez aider avec la localisation, écrivez-moi acmain@gmail.com et je vais vous donner accès à l'édition."
,,about
about,"Ce jeu a été créé par {author}

Les sources suivantes ont été utilisées lors de la création: 
{sources}

Droit d'auteur:
{copyrights}",
,,
,,Mods
mod_sandbox,bac à Sable,
mod_station_earth,station proche de la Terre,
mod_station_moon,station proche de la Lune,
mod_all_allow,tout est autorisé,
mod_all_researched,tout est recherché,
mod_fuel_regeneration,régénération de carburant,
,,
,,common
accept,Accepter,
cancel,Annuler,
close,Fermer,
exit,Sortie,
loading,Chargement...,
,,
,,main menu
menu_game,Jeu,
menu_continue,Continuer:,
menu_newGame,Nouveau jeu:,
menu_mods,Options,
menu_language,Langue (Language),
menu_video_settings,Paramètres graphiques,
menu_about,A propos du jeu,
,,
,,video settings
video_windowMode,mode Fenêtre,
video_fullScreen,plein écran,
video_windowed,dans la fenêtre,
video_fullscreenType,plein Écran,
video_maximizedWindow,Fenêtre sans cadre,
video_nativeFullscreen,Vrai plein écran,
video_displayResolution,Résolution d'écran,
video_3dResolution,mise à l'Échelle du rendu,
video_frameRateLimit,fréquence d'images,
video_30FPS,30 I/s,
video_60FPS,60 I/s,
video_120FPS,120 I/s,
video_unlimited,illimité,
video_verticalSync,synchronisation verticale,
video_overallQualityPreset,qualité graphique,
video_low,Bas,
video_medium,Moyen,
video_high,Haut,
video_epic,Max,
video_custom,Autre,
video_customQualitySettings,personnalisation des paramètres graphiques,
video_viewDistance,Visibilité,
video_near,Proche,
video_far,Loin,
video_visualEffects,Effets,
video_shadows,Ombres,
video_textures,Textures,
video_postProcessing,Post-Traitement,
video_antiAliasing,Anticrénelage,
video_foliage,Végétation,
video_autoDetect,Détection Automatique,
,,
,,character
char_characteristics,Caractéristiques,
char_health,Santé,
char_morale,Humeur,
char_fatigue,Fatigue,
char_hunger,Faim,
char_wear,Usure,
char_charge,Charge,
char_needs,Besoins,
char_relax_,Repos,
char_now,Maintenant ,
char_command,Commander,
char_none,Non,
char_nowhereToSit,Nulle part où s'asseoir,
char_wantsToSleep,Veut dormir,
char_hungry,Faim,
char_cantSeeAnything,ne voit rien,
char_Ill,Malade,
char_itsHardToBreathe,Difficile de respirer,
char_broken,Cassé,
char_need_charge,Charge requise,
,,
,,staf
staff,Personnel,
staff_newStaff, nouveau personnel,
staff_recruit,Embaucher,
staff_buyRobot,Acheter un robot,
staff_buyFarmer,Jardinier,
staff_buyCook,Cuisiniers,
staff_relax_,Repos,
,,
,,buy_robot
buy_robot_caption,Acheter un robot,
buy_robot_text,confirmez-vous l'achat du robot?,
,,
,,robot_arrive
robot_arrive_caption,le Robot est en route,
robot_arrive_text,le Robot sera livré par navette à cette station proche de la terre,
,,
,,build
build_dismantlingTooltip,Démantèlement de bâtiments,
build_pillarsTooltip,les Supports sont posés sur le sol et peuvent supporter le poids des bâtiments et des sentiers,
build_stairsTooltip,les Escaliers peuvent être installés à l'extérieur et à l'intérieur,
build_doorsTooltip,Installation des portes. Sélectionnez l'endroit où vous voulez installer la porte et cliquez sur le bouton gauche de la souris. Réappliquer-démonter la porte,
build_floorTooltip,les planchers Peuvent diviser une pièce en plusieurs étages,
build_sectionTooltip,"sections Fixes de nature technique. L'absence de gravité est compensée par des sols magnétiques. Utilisé pour les sites d'atterrissage, l'installation de panneaux solaires, réservoirs, antennes et moteurs",
build_whellTooltip,"Dans les sections habitées, la gravité est créée par la rotation de la section autour de l'axe de la station",
build_axisTooltip,l'Axe relie les segments de station les uns aux autres,
build_solarPanelTooltip,les panneaux Solaires génèrent de l'électricité le jour,
build_batteryTooltip,les Batteries alimentent la station la nuit avec l'énergie accumulée pendant la journée. Les éclairs au soleil entraînent une décharge partielle des batteries.,
build_tankTooltip,les Liquides et les gaz sont stockés dans des réservoirs sous pression hermétiques,
build_dockTooltip,nœud d'Amarrage des navettes,
build_thrusterToolip,les moteurs de Manœuvre sont nécessaires pour orienter la station dans la bonne direction,
build_chemicalEngineTooltip,moteur Chimique,
build_nuclearEngineTooltip,moteur Nucléaire,
build_recombinationEngineTooltip,moteur de Recombinaison,
build_termonuclearEngineTooltip,moteur Thermonucléaire,
build_photonEngineTooltip,moteur Photonique,
build_required_,Requis:,
build_caption,Construction,
build_cages,"les Locaux diffèrent par le type (résidentiel, entrepôt, etc.) à spécifier avant de les construire",
build_walkway,les allées Piétonnes rendent confortable le déplacement des colons entre les bâtiments,
build_finish,Terminer la construction,
,,
,,cargo
cargo_name,Nom,
cargo_count,Nombre,
cargo_cost,Coût,
,,
,,colony
colony_mineralResources,minéraux,
colony_radiation,Rayonnement,
colony_sunriseThrough,Lever du soleil dans,
colony_sunsetThrough,Coucher de Soleil dans,
colony_acceptColonists,Accepter les colons,
colony_reject,Refuser,
colony_newAvailable,nouveau matériel Disponible,
colony_goto,Aller à la station,
colony_shuttles,{count} navettes via {period},
,,
,,places
place_hallway,Couloir,
place_gateway,Passerelle,
place_apartment,logement,
place_workshop,production Industrielle,
place_cafe,"Café, production alimentaire",
place_mine,Exploitation minière,
place_farm, cultiver des plantes,
place_recreation,Divertissement,
place_storage,Entrepôt,
place_power,centrale Électrique,
place_hospital,Traitement des astronautes,
place_laboratory,Recherche,
place_servers,Serveur,
place_teleport,Noeud,
,,
,,room
room_pressure,Pression,
room_electricity,Électricité,
room_assignStaf,Affecter du personnel,
room_ceil,Plafond,
room_floor,Plancher,
,,
,,storage
storage,Entrepôt,
storage_availability,Disponibilité,
storage_production,Production,
storage_purchase,Achat,
storage_sell,Vente,
storage_throw,Jeter,
storage_post,Transférer,
,,
,,furniture
furniture,Objets,
furniture_serviceability,bon Fonctionnement,
furniture_composition,Composition:,
furniture_deconstruct,Démonter,
,,
,,events
events,Alerte,
event_notHappy,le Personnel est mécontent,
event_energy,pas assez d'énergie pour couvrir les besoins actuels de la colonie.,
event_battery,il n'y a pas assez d'énergie pour couvrir les besoins quotidiens de la colonie.,
event_storage,Entrepôt plein,
event_tank,Réservoirs de liquides et de gaz remplis,
event_hungry,le Personnel est affamé,
event_oxygen,manque d'oxygène,
event_cantSit,le Personnel n'a nulle part où s'asseoir,
event_cantSleep,le Personnel n'a nulle part où dormir,
event_ill,le Personnel est malade,
event_broken,Robots brisés,
event_radiation,Augmentation des radiations dues à une éruption solaire,
event_meteors,pluie de Météorites,
event_scientist,l'Efficacité des chercheurs est réduite,
