Key,SourceString,Comment
,,Solargeneの公式ローカライズです。ゲームがアップデートされると、すべての変更が最後に追加されます。 あなたがローカライズを支援したい場合は、 acmain@gmail.com にメールしてください。あなたに編集のためのアクセス権を与えます。
,,about
about,"このゲームは {author} によって開発されました

作成には次のソースが使用されています：
{sources}

著作権情報：
{copyrights}",
,,
,,Mods
mod_sandbox,サンドボックス,
mod_station_earth,地球近傍ステーション,
mod_station_moon,月近傍ステーション,
mod_all_allow,すべて許可,
mod_all_researched,すべて調査済み,
mod_fuel_regeneration,燃料の回復,
,,
,,common
accept,OK,
cancel,キャンセル,
close,閉じる,
exit,終了,
loading,ローディング...,
,,
,,main menu
menu_game,ゲーム,
menu_continue,続きから,
menu_newGame,新しいゲーム,
menu_mods,パラメータ,
menu_language,言語 (Language),
menu_video_settings,グラフィック設定,
menu_about,Solargeneについて,
,,
,,video settings
video_windowMode,ウィンドウモード,
video_fullScreen,フルスクリーン,
video_windowed,ウィンドウ,
video_fullscreenType,フルスクリーン方式,
video_maximizedWindow,ボーダレスウィンドウ,
video_nativeFullscreen,ネイティブ,
video_displayResolution,画面解像度,
video_3dResolution,3D解像度,
video_frameRateLimit,フレームレート,
video_30FPS,30fps,
video_60FPS,60fps,
video_120FPS,120fps,
video_unlimited,無制限,
video_verticalSync,垂直同期,
video_overallQualityPreset,品質プリセット,
video_low,低,
video_medium,中,
video_high,高,
video_epic,エピック,
video_custom,カスタム,
video_customQualitySettings,グラフィックスパラメータのカスタマイズ,
video_viewDistance,描画距離,
video_near,近,
video_far,遠,
video_visualEffects,エフェクト,
video_shadows,影,
video_textures,テクスチャ,
video_postProcessing,ポストプロセッシング,
video_antiAliasing,アンチエイリアシング,
video_foliage,木の葉,
video_autoDetect,自動検出,
,,
,,character
char_characteristics,特性,
char_health,健康,
char_morale,気分,
char_fatigue,疲労,
char_hunger,空腹,
char_wear,損耗状態,shobel:Wear/износは「摩耗」という和訳もできますがどうでしょうか。
char_charge,充電,
char_needs,欲求,
char_relax_,休息,
char_now,今 ,
char_command,移動を指示,"shobel:Командировать/Commandは「指示」という和訳もできますがどうでしょうか。
tacostea: 良いと思います。反映しました。"
char_none,いいえ,
char_nowhereToSit,座る場所がない,
char_wantsToSleep,眠りたい,
char_hungry,空腹,
char_cantSeeAnything,暗闇にいる,
char_Ill,病気,
char_itsHardToBreathe,酸欠状態,
char_broken,故障している,
char_need_charge,充電が必要,
,,
,,staff
staff,スタッフ,
staff_newStaff,新しいスタッフ,
staff_recruit,雇用する,
staff_buyRobot,ロボットを買う,
staff_buyFarmer,農家,
staff_buyCook,料理人,
staff_relax_,休息,
,,
,,buy_robot
buy_robot_caption,ロボットを購入,
buy_robot_text,本当にロボットを購入しますか？,
,,
,,robot_arrive
robot_arrive_caption,ロボットがやって来ます,
robot_arrive_text,ロボットはこの地球近傍ステーションへシャトルで送られます,
,,
,,build
build_dismantlingTooltip,建物を解体する,
build_pillarsTooltip,基礎。地表に設置され、建物や通路の重量を支えます。,
build_stairsTooltip,階段。屋外・屋内のいずれにも設置できます。,
build_doorsTooltip,ドアを取り付けます。ドアを設置する場所を選択し、マウスの左ボタンをクリックします。もう一度押すとドアを解体します。,
build_floorTooltip,床ブロック。高さのある部屋を複数の階層に分割することができます。,
build_sectionTooltip,静止セクション。無重力なので、オブジェクトは磁力で固定されます。シャトルドック、ソーラーパネル、タンク、アンテナまたはエンジンを建築できます。,
build_whellTooltip,回転セクション。回転することで重力が生じます。居室や職場などを建築できます。,
build_axisTooltip,シャフト。ステーションの各セグメントを接続する軸です。,
build_solarPanelTooltip,ソーラーパネル。日中に発電します。,
build_batteryTooltip,バッテリー。日中にソーラーパネルで蓄えた電力を夜に放電します。太陽フレアがあると、若干バッテリー残量が減ってしまいます。,
build_tankTooltip,加圧密閉タンク。液体やガスを貯蔵します。,
build_dockTooltip,シャトルドック,
build_thrusterToolip,スラスター。起動ステーションを要求された方向に向けるために必要です。,
build_chemicalEngineTooltip,化学エンジン。液体燃料を燃料とします。,
build_nuclearEngineTooltip,原子力エンジン。原子力ジェット燃料を燃料とします。,
build_recombinationEngineTooltip,再結合エンジン。再結合燃料を燃料とします。,
build_termonuclearEngineTooltip,核融合エンジン。核融合ジェット燃料を燃料とします。,
build_photonEngineTooltip,光子ロケットエンジン。反物質を燃料とします。,
build_required_,要求：,
build_caption,建設,
build_cages,建築ブロック。住居、倉庫など様々な用途に用います。建設前に、用途を指定する必要があります。,
build_walkway,通路。スタッフが建物間を移動するために必要です。,
build_finish,建設を終了する,
,,
,,cargo
cargo_name,名前,
cargo_count,数量,
cargo_cost,コスト,
,,
,,colony
colony_mineralResources,鉱物,
colony_radiation,放射線,
colony_sunriseThrough,日の出まであと,
colony_sunsetThrough,日没まであと,
colony_acceptColonists,スタッフを雇用する,
colony_reject,拒否,
colony_newAvailable,設備がアンロックされました,
colony_goto,ステーションに行く,
colony_shuttles,{count} シャトルスルー {period},
,,
,,places
place_hallway,廊下,
place_gateway,エアロック,
place_apartment,居室,
place_workshop,工業区画,
place_cafe,カフェ,
place_mine,採掘区画,"あるいは""採掘場""？"
place_farm,農業区画,
place_recreation,休憩室,
place_storage,倉庫,
place_power,発電区画,
place_hospital,医務室,
place_laboratory,研究室,
place_servers,サーバルーム,
place_teleport,ノード,
,,
,,room
room_pressure,気圧,
room_electricity,電気,
room_assignStaf,スタッフを割り当てる,
room_ceil,天井デザイン,
room_floor,床デザイン,
,,
,,storage
storage,倉庫,
storage_availability,可用性,
storage_production,生産,
storage_purchase,購入,
storage_sell,販売,
storage_throw,捨てる,
storage_post,送信,
,,
,,furniture
furniture,アイテム,
furniture_serviceability,保守性,
furniture_composition,コンポーネント：,
furniture_deconstruct,解体／キャンセル,
,,
,,events
events,お知らせ,
event_notHappy,不満を持つスタッフがいます。,
event_energy,電力不足です。,
event_battery,1日の総必要電力を確保できません。,
event_storage,倉庫が満杯です。,
event_tank,タンクが満杯です。,
event_hungry,空腹なスタッフがいます。,
event_oxygen,酸素不足です。,
event_cantSit,スタッフが座る場所が不足しています。,
event_cantSleep,スタッフが眠る場所が不足しています。,
event_ill,病気のスタッフがいます。,
event_broken,故障したロボットがいます。,
event_radiation,太陽フレアにより放射線レベルが上昇しました。,
event_meteors,流星群,
event_scientist,研究効率が低下しました。,
event_devices,科学機器の効率が低下しました。,tacostea:あるいは「研究器具」「実験装置」
event_computing,計算効率が低下しました。,
,,
,,state
state,イベント,
state_colony,ステータス,
state_loyalty,スタッフの満足度が低下しています。休憩室を建設するとよいかもしれません。満足度が0%になるとスタッフは働かなくなります。,
state_energy,電力不足で停電しています。今すぐ発電機を増設するか、不要な部屋・設備の電源を切ってください。,
state_battery,"現在のバッテリー残量：<b>{charge}%</>
コロニーの<b>1日</>（昼と夜のサイクル）の需要に対する充足率：<b>{percent}</>
充足率が100%でない場合、停電が発生します。発電機を増やす、バッテリーを増設する、または不要な部屋・設備の電源を切るなどしてください。",
state_storage,倉庫が満杯です。資源の生産が停止しています。倉庫のラックを増設してください。,
state_tank,タンクが満杯です。液体／ガスの生産が停止しています。,
