Key,SourceString,Comment
,,"Официальная локализация Solargene. При обновлениях игры, все изменения добавляются в конец. Если вы хотите помочь с локализацией, напишите мне acmain@gmail.com, и я вам дам доступ на редактирование."
,,about
about,"Данная игра создана {author}

При создании были использованы следующие источники: 
{sources}

Авторские права:
{copyrights}",
,,
,,Mods
mod_sandbox,Песочница,
mod_station_earth,Околоземная станция,
mod_station_moon,Окололунная станция,
mod_all_allow,Все разрешено,
mod_all_researched,Все исследовано,
mod_fuel_regeneration,Восполняемое топливо,
,,
,,common
accept,Принять,
cancel,Отменить,
close,Закрыть,
exit,Выход,
loading,Загрузка...,
,,
,,main menu
menu_game,Игра,
menu_continue,Продолжить:,
menu_newGame,Новая игра:,
menu_mods,Параметры:,
menu_language,Язык (Language),
menu_video_settings,Настройки графики,
menu_about,Об игре,
,,
,,video settings
video_windowMode,Оконный режим,
video_fullScreen,Во весь экран,
video_windowed,В окне,
video_fullscreenType,Полноэкранный,
video_maximizedWindow,Окно без рамок,
video_nativeFullscreen,Настоящий полноэкранный,
video_displayResolution,Разрешение экрана,
video_3dResolution,Масштаб рендера,
video_frameRateLimit,Частота кадров,
video_30FPS,30 к/с,
video_60FPS,60 к/с,
video_120FPS,120 к/с,
video_unlimited,не ограничено,
video_verticalSync,Верт. синхронизация,
video_overallQualityPreset,Качество графики,
video_low,Низко,
video_medium,Средне,
video_high,Высоко,
video_epic,Ультра,
video_custom,Другое,
video_customQualitySettings,Выборочная настройка параметров графики,
video_viewDistance,Дальность прорисовки,
video_near,Близко,
video_far,Далеко,
video_visualEffects,Эффекты,
video_shadows,Тени,
video_textures,Текстуры,
video_postProcessing,Постобработка,
video_antiAliasing,Сглаживание,
video_foliage,Растительность,
video_autoDetect,Автоматическая настройка,
,,
,,character
char_characteristics,Характеристики,
char_health,Здоровье,
char_morale,Настроение,
char_fatigue,Усталость,
char_hunger,Голод,
char_wear,Износ,
char_charge,Заряд,
char_needs,Потребности,
char_relax_,Отдых,
char_now,Сейчас ,
char_command,Командировать,
char_none,Нет,
char_nowhereToSit,Негде присесть,
char_wantsToSleep,Хочет спать,
char_hungry,Голоден,
char_cantSeeAnything,Ничего не видит,
char_Ill,Болен,
char_itsHardToBreathe,Трудно дышать,
char_broken,Сломан,
char_need_charge,Требуется зарядка,
,,
,,staff
staff,Персонал,
staff_newStaff,Новый персонал,
staff_recruit,Нанять,
staff_buyRobot,Купить робота,
staff_buyFarmer,Садовника,
staff_buyCook,Повара,
staff_relax_,Отдых,
,,
,,buy_robot
buy_robot_caption,Купить робота,
buy_robot_text,Вы подтверждаете покупку робота?,
,,
,,robot_arrive
robot_arrive_caption,Робот в пути,
robot_arrive_text,Робот будет доставлен на челноке на эту околоземную станцию,
,,
,,build
build_dismantlingTooltip,Демонтирование строений,
build_pillarsTooltip,Опоры ставятся на грунт и выдерживают вес построек и пешеходных дорожек,
build_stairsTooltip,Лестницы могут быть установлены как снаружи так и внутри помещений,
build_doorsTooltip,Установка дверей. Выберите место на которое хотите установить дверь и нажмите левую кнопку мыши. Двойное нажатие - демонтирование двери,
build_floorTooltip,Межэтажными перекрытиями можно разделить помещение на несколько этажей,
build_sectionTooltip,"Неподвижные секции технического характера. Отсутствие гравитации компенсируется магнитными полами. Используются для посадочных площадок, установки солнечных панелей, баков, антенн и двигателей",
build_whellTooltip,В обитаемых секциях сила тяжести создается вращением секции вокруг оси станции,
build_axisTooltip,Ось соединяет сегменты станции друг с другом,
build_solarPanelTooltip,Солнечные панели генерируют электроэнергию днем,
build_batteryTooltip,"Аккумуляторы ночью питают станцию энергией, которую накопили за день. Вспышки на солнце приводят к частичной разрядке батарей.",
build_tankTooltip,Жидкости и газы хранятся в герметичных баках высокого давления,
build_dockTooltip,Стыковочный узел челноков,
build_thrusterToolip,Маневровые двигатели нужны для ориентации станции в пространстве,
build_chemicalEngineTooltip,"Химический двигатель, работающий на химическом топливе",
build_nuclearEngineTooltip,Ядерный двигатель. Работает за счет нагрева рабочего тела внутриядерной реакции,
build_recombinationEngineTooltip,Рекомбинационный двигатель. Используют энергию воссоедениения атомов в молекулы,
build_termonuclearEngineTooltip,Термоядерный двигатель. Работает за счет нагрева рабочего тела плазмой в которой проходят процессы термоядерного синтеза,
build_photonEngineTooltip,Фотонный двигатель. Работает на аннигиляции вещества и антивещества,
build_required_,Требуется:,
build_caption,Строительство,
build_cages,"Помещения различаются типом (жилые, склады, и т.п), который нужно указать перед началом строительства",
build_walkway,Пешеходные дорожки делают комфортным перемещение колонистов между зданиями,
build_finish,Завершить строительство,
,,
,,cargo
cargo_name,Наименование,
cargo_count,Количество,
cargo_cost,Стоимость,
,,
,,colony
colony_mineralResources,Полезные ископаемые,
colony_radiation,Радиация,
colony_sunriseThrough,Восход через,
colony_sunsetThrough,Закат через,
colony_acceptColonists,Принять колонистов,
colony_reject,Отказать,
colony_newAvailable,Доступно новое оборудование,
colony_goto,Перейти к станции,
colony_shuttles,{count} челноков через {period},
,,
,,places
place_hallway,Коридор,
place_gateway,Шлюз,
place_apartment,Жилое помещение,
place_workshop,Промышленность,
place_cafe,Производство еды,
place_mine,Добыча полезных ископаемых,
place_farm,Фермерство,
place_recreation,Развлечение,
place_storage,Склад,
