Key,SourceString,Comment
,,"localización oficial de Solargene. Al actualizar el juego, todos los cambios se añaden al final. Si desea ayudar con la localización, envíeme un correo electrónico acmain@gmail.com. y te daré acceso de edición."
,,about
about,"este juego fue creado por {author}

En la creación se utilizaron las siguientes Fuentes: 
{sources}

Propiedad intelectual:
{copyrights}",
,,
,,Mods
mod_sandbox,Juego Libre,
mod_station_earth,Estación cercana a la Tierra,
mod_station_moon,Estación cercana a la Luna,
mod_all_allow,Todo está permitido,
mod_all_researched,Todo investigado,
mod_fuel_regeneration,Regeneración de combustible,
,,
,,common
accept,Aceptar,
cancel,Cancelar,
close,Cerrar,
exit,Salir,
loading,Cargando...,
,,
,,main menu
menu_game,Juego,
menu_continue,Continuar,
menu_newGame,Juego Nuevo,
menu_mods,Opciones:,
menu_language,Idioma (Languaje),
menu_video_settings,Configuración de gráficos,
menu_about,Sobre el juego,
,,
,,video settings
video_windowMode,Modo Ventana,
video_fullScreen,Pantalla completa,
video_windowed,En la ventana,
video_fullscreenType,Pantalla completa,
video_maximizedWindow,Ventana sin marco,
video_nativeFullscreen,Pantalla completa nativa,
video_displayResolution,Resolución de pantalla,
video_3dResolution,Escala de renderizado,
video_frameRateLimit,velocidad de fotogramas,
video_30FPS,30 FPS,
video_60FPS,60 FPS,
video_120FPS,120 FPS,
video_unlimited,no limitado,
video_verticalSync,sincronización vertical,
video_overallQualityPreset,calidad gráfica,
video_low,Bajo,
video_medium,Medio,
video_high,Alto,
video_epic,Max,
video_custom,Otro,
video_customQualitySettings,configuración grafica personalizada,
video_viewDistance,Visibilidad,
video_near,Cerca,
video_far,Lejos,
video_visualEffects,Efectos,
video_shadows,Sombras,
video_textures,Texturas,
video_postProcessing,Post procesado,
video_antiAliasing,Suavizado,
video_foliage,Vegetación,
video_autoDetect,Detección Automática,
,,
,,character
char_characteristics,Características,
char_health,Salud,
char_morale,Moral,
char_fatigue,Fatiga,
char_hunger,Hambre,
char_wear,Desgaste,
char_charge,Carga,
char_needs,Necesidades,
char_relax_,Descanso,
char_now,Ahora ,
char_command,Comando,
char_none,No,
char_nowhereToSit,No hay lugar para sentarse,
char_wantsToSleep,Quiere dormir,
char_hungry,Hambriento,
char_cantSeeAnything,no ve nada,
char_Ill,Enfermo,
char_itsHardToBreathe,Sofocando,
char_broken,Averiado,
char_need_charge,Se requiere recarga,
,,
,,staf
staff,Personal,
staff_newStaff,Nuevo personal,
staff_recruit,Contratar,
staff_buyRobot,Comprar un robot,
staff_buyFarmer,Contratar Agricultor,
staff_buyCook,Contratar Cocinero,
staff_relax_,Descanso,
,,
,,buy_robot
buy_robot_caption,Comprar robot,
buy_robot_text,¿Confirmas la compra de un robot?,
,,
,,robot_arrive
robot_arrive_caption,Robot en camino,
robot_arrive_text,el Robot será entregado en un transbordador a esta estación cercana a la tierra,
,,
,,build
build_dismantlingTooltip,Desmantelamiento de edificios,
build_pillarsTooltip,los Soportes se colocan en el Suelo para soportar el peso de las construcciones y pasarelas,
build_stairsTooltip,las Escaleras se pueden instalar tanto en interiores como en exteriores,
build_doorsTooltip,Instalación de puertas. Elija el sitio en el que quiere instalar la puerta y haga clic izq. Un nuevo clic-la desmontará,
build_floorTooltip,los entreplantas pueden dividir una habitación en varios pisos,
build_sectionTooltip,"Secciones fijas de carácter técnico. Se usan para plataformas de aterrizaje, instalación de paneles solares, tanques, antenas y motores. La falta de gravedad se compensa con pisos magnéticos. ",
build_whellTooltip,En las secciones habitables la gravedad se crea haciendo girar la sección en torno al eje de la estación,
build_axisTooltip,el Eje conecta los segmentos de la estación entre sí,
build_solarPanelTooltip,los paneles Solares generan electricidad durante el día,
build_batteryTooltip,las Baterías alimentan por la noche la estación con la energía que se ha acumulado durante el día. Las llamaradas solares hacen que las baterías se agoten parcialmente.,
build_tankTooltip,los Líquidos y Gases se almacenan en tanques sellados de alta presión.,
build_dockTooltip,Muelle de acoplamiento de transbordadores,
build_thrusterToolip,se necesitan motores de Maniobra para orientar la estación en la dirección correcta,
build_chemicalEngineTooltip,motor Químico,
build_nuclearEngineTooltip,motor Nuclear,
build_recombinationEngineTooltip,motor de Recombinación,
build_termonuclearEngineTooltip,motor Termonuclear,
build_photonEngineTooltip,motor de Fotones,
build_required_,Requerido:,
build_caption,Construcción,
build_cages,"los Módulos difieren en su tipo (residencial, almacén, industrial, etc.) que debe elegirse antes de su construcción",
build_walkway,los pasillos hacen posible que los colonos se muevan cómodamente entre edificios,
build_finish,Terminar de construir,
,,
,,cargo
cargo_name,Nombre,
cargo_count,Número,
cargo_cost,Costo,
,,
,,colony
colony_mineralResources,Minerales,
colony_radiation,Radiación,
colony_sunriseThrough,Amanecer en,
colony_sunsetThrough,Puesta de Sol en,
colony_acceptColonists,Aceptar colonos,
colony_reject,Rechazar,
colony_newAvailable,Nuevo equipamiento disponible,
colony_goto,Ir a la estación,
colony_shuttles,{count} lanzadera a través de {period},
,,
,,places
place_hallway,Corredor,
place_gateway,Muelle de Enlace,
place_apartment,Vivienda,
place_workshop,Producción industrial,
place_cafe,Comedor,
place_mine,Minería,
place_farm,Cultivo de plantas,
place_recreation,Entretenimiento,
place_storage,Almacén,
place_power,Planta de energía,
place_hospital,Hospital,
place_laboratory,Investigación,
place_servers,Servidores,
place_teleport,Nodo,
,,
,,room
room_pressure,Presión,
room_electricity,Electricidad,
room_assignStaf,Asignar personal,
room_ceil,Techo,
room_floor,Piso,
,,
,,storage
storage,Almacén,
storage_availability,Disponibilidad,
storage_production,Producción,
storage_purchase,Compra,
storage_sell,Venta,
storage_throw,Tirar,
storage_post,Reenviar,
,,
,,furniture
furniture,Mobiliario,
furniture_serviceability,Utilidad,
furniture_composition,Composición,
furniture_deconstruct,Desmontar,
,,
,,events
events,Alerta,
event_notHappy,El Personal no está contento,
event_energy,No Hay suficiente energía para cubrir <b>las necesidades actuales</> de la Colonia.,
event_battery,No hay suficiente energía para cubrir <b>las necesidades diarias</> de la Colonia.,
event_storage,Almacén lleno,
event_tank,Tanques de líquidos y gases llenos,
event_hungry,El Personal tiene hambre,
event_oxygen,Falta de oxígeno,
event_cantSit,El Personal no tiene dónde sentarse,
event_cantSleep,El Personal no tiene dónde dormir,
event_ill,El Personal está enfermo,
event_broken,Robots averiados,
event_radiation,Aumento de los niveles de radiación debido a una llamarada solar,
event_meteors,LLuvia de Meteoritos,
event_scientist,Eficiencia de los investigadores reducida,
event_devices,Eficiencia del equipo científico reducida,
event_computing,Eficiencia computacional reducida,
,,
,,state
state,Eventos,
state_colony,Estado,
state_loyalty,Si los colonos no están contentos tal vez sea porque no hay una sala de descanso funcionando. Al 0% la actividad de la estación se detiene antes de que llegue el nuevo personal.,
state_energy,No hay suficiente energía para cubrir <b>las necesidades actuales</> de la Colonia. Construir más generadores.,
state_battery,"Carga actual de las baterías: <b>{charge} % </>
Aseguramiento <b>de las necesidades diarias</>(ciclo día+noche) de la Colonia: <b>{percent}</>
Construya más baterías y estaciones generadoras o corte la electricidad donde no se necesita ahora.",
state_storage,Si el almacén está lleno la producción se detiene (Líquidos y gases se almacenan aparte). Necesita más elementos de almacenamiento.,
state_tank,Si los tanques están llenos la producción de líquidos y gases se detiene.,
state_unreachable,No se Puede pasar al objeto. Reorganizar los lugares para abrir camino. Tal vez necesite construir compuertas.,
state_sit,los Astronautas no tienen dónde sentarse. Coloque bancos o sofás en los pasillos y en las Salas de descanso.,
state_sleep,Los Astronautas no tienen dónde dormir. Instale más camas en espacios residenciales y asígneselas a los astronautas.,
state_eat,"Reserva de comida en <b>{period}</> 
Hambriento <b>{hungry}</> 
Producir más comida o poner más mesas para comer en los comedores.",
state_light,"Demasiado oscuro. Los astronautas no ven bien. Haga más ventanas, genere más energía y encienda las luces interiores.",
state_cure,Los Astronautas están enfermos o heridos. Se requieren plazas en hospitales atendidas por médicos.,
state_recover,Los Robots están averiados. Se requieren puestos de reeparación de robots en talleres e ingenieros que las atiendan.,
state_oxygen,"Suministro de oxígeno en <b>{period}</> 
Uso de la regeneración <b>{regeneration}</>
Falta de oxígeno en<b> {gasp} </> colonos
En caso de falta de oxígeno almacenado el aire empieza a saturarse con dióxido de carbono. Instale generadores de oxígeno o aumente el suministro de oxígeno almacenado.",
state_radiation,Aumento de los niveles de radiación debido a una llamarada solar,
state_meteors,"las lluvias de Meteoritos conducen a la despresurización temporal de habitáculos , tanques de líquidos y gases",
state_scientists,No hay suficientes investigadores. Construye más puestos de laboratorio y pon investigadores en ellos.,
state_devices,"No hay suficiente equipo científico. Construir más laboratorios y equipos científicos. Una vez puesto en marcha, el equipo necesita tiempo para alcanzar su pleno rendimiento. Las llamaradas solares disminuyen a corto plazo el rendimiento.",
state_computing,"No hay suficiente capacidad de procesamiento. Construir más servidores. Una vez encendido, el equipo necesita tiempo para alcanzar su pleno rendimiento. Las llamaradas solares disminuyen a corto plazo el rendimiento.",
,,
,,planets
planets,Planetas,
sun,Sol,
mercury,Mercury,
venus,Venus,
earth,Tierra,
moon,Luna,
mars,Marte,
jupiter,Júpiter,
io,Io,
europa,Europa,
ganymede,Ganímedes,
callisto,Calisto,
saturn,Saturno,
enceladus,Encélado,
titan,Titán,
uranus,Urano,
neptune,Neptuno,
triton,Tritón,
,,
,,months
months,Enero/Febrero/Marzo/Abril/Mayo/Junio/Julio/Agosto/Septiembre/Octubre/Noviembre/Diciembre,
,,
,,view
view,Vista,
view_solarSystem,Sistema solar,
view_rotation,Rotación de secciones,
view_scale,Escala,
view_planets,Planetas:,
view_orbites,Órbitas:,
view_stations,Estaciones:,
view_upscale,Ampliación,
view_gradation,Gradación,
view_defaults,Origen,
view_real,Real,
,,
,,planet
planet_characteristics,Características,
planet_temperature,Temperatura,
