"source","target","developer_comments"
"mod_name","Ad Astra Remake",""
"mod_description","x",""
"phobos","Phobos",""
"deimos","Deimos",""
"ceres","Cerere",""
"pallas","Pallante",""
"vesta","Vesta",""
"juno","Giunone",""
"iapetus","Giapeto",""
"hyperion","Iperione",""
"rhea","Nandù",""
"dione","Dione",""
"tethys","Tethys",""
"mimas","Mimas",""
"oberon","Oberon",""
"titania","Titania",""
"umbriel","Umbriel",""
"ariel","Ariel",""
"miranda","Miranda",""
"eris","Eris",""
"makemake","Makemake",""
"pluto","Plutone",""
"charon","Charon",""
"haumea","Haumea",""
