"source","target","developer_comments"
"about","这个游戏是由{author}创建的
特别感谢
{gratitude}
在创建中使用了以下来源：
{sources}
版权：
{copyrights}",""
"mod_sandbox","沙盒模式（非常难）",""
"mod_station_earth","近地空间站",""
"mod_station_moon","近月空间站",""
"mod_all_allow","允许所有",""
"mod_all_researched","已完成全部",""
"mod_fuel_regeneration","燃料再生",""
"accept","接受",""
"cancel","取消",""
"close","关闭",""
"exit","退出",""
"loading","加载中...",""
"menu_game","游戏",""
"menu_continue","继续",""
"menu_newGame","新游戏",""
"menu_mods","参数设置",""
"menu_language","语言 (Language)","(Language) added in order to, so that players who do not know Chinese can choose a different localization"
"menu_video_settings","画面设置",""
"menu_about","关于游戏",""
"video_windowMode","窗口模式",""
"video_fullScreen","全屏模式",""
"video_windowed","窗口",""
"video_fullscreenType","全屏类型",""
"video_maximizedWindow","全屏",""
"video_nativeFullscreen","独占全屏",""
"video_displayResolution","分辨率",""
"video_3dResolution","屏幕比例",""
"video_frameRateLimit","帧率限制",""
"video_30FPS","每秒30帧",""
"video_60FPS","每秒60帧",""
"video_120FPS","每秒120帧",""
"video_unlimited","不限制",""
"video_verticalSync","垂直同步",""
"video_overallQualityPreset","图形质量",""
"video_low","低",""
"video_medium","中",""
"video_high","高",""
"video_epic","极高",""
"video_custom","其他",""
"video_customQualitySettings","自定义图形",""
"video_viewDistance","视距",""
"video_near","近",""
"video_far","远",""
"video_visualEffects","视觉效果",""
"video_shadows","阴影",""
"video_textures","纹理",""
"video_postProcessing","动态模糊",""
"video_antiAliasing","抗锯齿",""
"video_foliage","植被",""
"video_autoDetect","自动检测最佳设置",""
"char_characteristics","人物特征",""
"char_health","健康",""
"char_morale","情绪",""
"char_fatigue","疲劳",""
"char_hunger","饥饿",""
"char_wear","耗损",""
"char_charge","电量",""
"char_needs","需求",""
"char_relax_","休息",""
"char_now","当前行为 ",""
"char_command","命令",""
"char_none","无",""
"char_nowhereToSit","没地方坐",""
"char_wantsToSleep","想睡觉",""
"char_hungry","饥饿",""
"char_cantSeeAnything","我看不见了",""
"char_Ill","生病了",""
"char_itsHardToBreathe","快窒息了",""
"char_broken","坏了",""
"char_need_charge","需要充电",""
"staff","员工",""
"staff_newStaff","新员工",""
"staff_recruit","雇佣",""
"staff_buyRobot","购买机器人",""
"staff_buyFarmer","农夫",""
"staff_buyCook","厨师",""
"staff_relax_","休息",""
"buy_robot_caption","购买机器人",""
"buy_robot_text","机器人的成本{cost}。\n购买?",""
"robot_arrive_caption","机器人正在赶来的路上",""
"robot_arrive_text","机器人将通过太空梭被运送到站点。",""
"build_dismantlingTooltip","拆除建筑物",""
"build_pillarsTooltip","支柱被安装在地面上，用于支撑建筑和人行道的重量。",""
"build_stairsTooltip","楼梯可以安装在户外和室内。",""
"build_doorsTooltip","安装门。选择要安装门的位置，然后点击鼠标左键。再次点击可拆除门。",""
"build_floorTooltip","楼层间模块可用于将一个房间划分为多个层次。",""
"build_sectionTooltip","固定舱段。无重力通过磁性地板补偿。主要用于着陆平台、太阳能电池板、储罐、天线和引擎安装。可用于居住和其他舱室，但缺乏重力会导致人员太空病",""
"build_whellTooltip","旋转舱段产生人员习惯的重力，防止太空病",""
"build_axisTooltip","一个轴心将空间站各段相互连接。",""
"build_solarPanelTooltip","太阳能板在白天发电。",""
"build_batteryTooltip","电池利用白天积累的能量晚上给空间站供电。太阳耀斑会导致电池部分放电。",""
"build_tankTooltip","液体和气体被储存在加压的密封罐中。",""
"build_dockTooltip","太空梭停靠点",""
"build_thrusterToolip","需要使用推进器来调整空间站的航行方向。",""
"build_chemicalEngineTooltip","化学引擎，使用化学燃料工作
气体排出速度: {flow_speed} 千米/秒
燃料消耗率 {flow_rate} 千克/秒
推力 {thrust} 千牛",""
"build_nuclearEngineTooltip","核引擎。通过核反应加热工质工作
气体排出速度: {flow_speed} 千米/秒
燃料消耗率 {flow_rate} 千克/秒
推力 {thrust} 千牛",""
"build_recombinationEngineTooltip","重组引擎。利用原子重新结合为分子的能量
气体排出速度: {flow_speed} 千米/秒
燃料消耗率 {flow_rate} 千克/秒
推力 {thrust} 千牛",""
"build_termonuclearEngineTooltip","热核引擎。通过热核聚变过程加热工质工作
气体排出速度: {flow_speed} 千米/秒
燃料消耗率 {flow_rate} 千克/秒
推力 {thrust} 千牛",""
"build_photonEngineTooltip","光子引擎。利用物质与反物质湮灭工作
气体排出速度: {flow_speed} 千米/秒
燃料消耗率 {flow_rate} 千克/秒
推力 {thrust} 千牛",""
"build_required_","需要：",""
"build_caption","建造",""
"build_cages","每个房间都可以用不同类型的模块建造。 房间的风格特征及其外观取决于您选择的模块的类型",""
"build_walkway","人行道使殖民者能在建筑间舒适移动，同时提供平坦表面以放置各种设备",""
"build_finish","完成建造",""
"cargo_name","名称",""
"cargo_count","数量",""
"cargo_cost","价格",""
"colony_mineralResources","矿物",""
"colony_radiation","辐射",""
"colony_sunriseThrough","日出经过",""
"colony_sunsetThrough","日落经过",""
"colony_acceptColonists","接受新居民",""
"colony_reject","拒绝",""
"colony_newAvailable","新装备可用",""
"colony_goto","切换到空间站",""
"colony_shuttles","{count}穿梭于{period}",""
"place_hallway","走廊",""
"place_gateway","闸门",""
"place_apartment","住宅",""
"place_workshop","工业区",""
"place_cafe","食品制作",""
"place_mine","矿业",""
"place_farm","农业",""
"place_recreation","休闲",""
"place_storage","仓储",""
"place_power","发电厂",""
"place_hospital","医院",""
"place_laboratory","研究机构",""
"place_servers","服务网点",""
"place_teleport","枢纽",""
"room_pressure","压力",""
"room_electricity","电力{power} ⚡",""
"room_assignStaf","人员指派",""
"room_ceil","天花板",""
"room_floor","地板",""
"storage","仓库",""
"storage_availability","库存",""
"storage_production","统计",""
"storage_purchase","购买",""
"storage_sell","卖出",""
"storage_throw","丢弃",""
"storage_post","转移",""
"furniture","设备",""
"furniture_serviceability","良好性",""
"furniture_composition","组件：",""
"furniture_deconstruct","拆卸",""
"events","事件",""
"event_notHappy","员工们感到不满。",""
"event_energy","能源不足，无法满足殖民地当前需求",""
