"source","target","developer_comments"
"about","This game is developed by {author}
Special thanks
{gratitude}
The following sources were used in the creation:
{sources}
Copyrights:
{copyrights}",""
"mod_sandbox","From the Cradle (Very Hard)",""
"mod_station_earth","Near-Earth station",""
"mod_station_moon","Near-Moon station",""
"mod_all_allow","Everything permitted",""
"mod_all_researched","Everything researched",""
"mod_fuel_regeneration","Fuel regeneration",""
"accept","Accept",""
"cancel","Cancel",""
"close","Close",""
"exit","Exit",""
"loading","Loading...",""
"menu_game","Game",""
"menu_continue","Continue",""
"menu_newGame","New Game",""
"menu_mods","Parameters","GT: Potentially adjust this to ""Mod Options""? Depends on where it appears in the game."
"menu_language","Language",""
"menu_video_settings","Video settings",""
"menu_about","About Solargene",""
"video_windowMode","Windowed Mode",""
"video_fullScreen","Fullscreen Mode",""
"video_windowed","Windowed","GT: Potentially changed to ""Windowed Borderless""? Depends on original intent"
"video_fullscreenType","Fullscreen type",""
"video_maximizedWindow","Fullscreen",""
"video_nativeFullscreen","Exclusive fullscreen",""
"video_displayResolution","Resolution",""
"video_3dResolution","3D resolution",""
"video_frameRateLimit","Frame rate limit",""
"video_30FPS","30 frames per second",""
"video_60FPS","60 frames per second",""
"video_120FPS","120 frames per second",""
"video_unlimited","unlimited",""
"video_verticalSync","Vertical sync",""
"video_overallQualityPreset","Quality presets","GT: Consider cutting off ""s"" at end? Depends on context"
"video_low","Low",""
"video_medium","Medium",""
"video_high","High",""
"video_epic","Epic",""
"video_custom","Custom",""
"video_customQualitySettings","Custom quality settings",""
"video_viewDistance","View distance",""
"video_near","Near",""
"video_far","Far",""
"video_visualEffects","Visual effects",""
"video_shadows","Shadows",""
"video_textures","Textures",""
"video_postProcessing","Post processing",""
"video_antiAliasing","Anti-aliasing",""
"video_foliage","Foliage",""
"video_autoDetect","Automatically detect best settings",""
"char_characteristics","Characteristics","GT: Consider changing to ""Character Information""? Depends on context"
"char_health","Health",""
"char_morale","Morale",""
"char_fatigue","Fatigue",""
"char_hunger","Hunger",""
"char_wear","Wear",""
"char_charge","Charge",""
"char_needs","Needs",""
"char_relax_","Rest",""
"char_now","Now ","GT: Please change based on context."
"char_command","Command",""
"char_none","No","GT: Please change based on context."
"char_nowhereToSit","Nowhere to sit",""
"char_wantsToSleep","Wants to sleep",""
"char_hungry","Hungry",""
"char_cantSeeAnything","Can't see anything",""
"char_Ill","Sick","GT: Changed from ""Ill"" to ""Sick"". Feel free to revert."
"char_itsHardToBreathe","Suffocating",""
"char_broken","Broken",""
"char_need_charge","Needs charging",""
"staff","Staff",""
"staff_newStaff","New staff","GT: Potentially can be removed, and use ""staff_recruit"" instead? Depends on context."
"staff_recruit","Hire",""
"staff_buyRobot","Buy a robot",""
"staff_buyFarmer","Farmer",""
"staff_buyCook","Cook",""
"staff_relax_","Rest",""
"buy_robot_caption","Buy a robot",""
"buy_robot_text","The robot will cost {cost}.\nPurchase?",""
"robot_arrive_caption","The robot is on the way",""
"robot_arrive_text","The robot will be delivered to the station by shuttle.",""
"build_dismantlingTooltip","Dismantling buildings",""
"build_pillarsTooltip","Pillars are placed on the ground for supporting the weight of buildings and walkways.",""
"build_stairsTooltip","Stairs can be installed both outdoors and indoors.",""
"build_doorsTooltip","Installing doors. Select the place you want to install the door in and click the left mouse button. Press again to dismantle the door.",""
"build_floorTooltip","Interfloor blocks can be used to divide a room into several levels.",""
"build_sectionTooltip","Fixed sections. The lack of gravity is compensated by magnetic floors. Mainly used for landing pads, installation of solar panels, tanks, antennas and engines. Can be used for residential and other premises, but the lack of gravity leads to space sickness among personnel",""
"build_whellTooltip","In the rotating sections, a gravity force familiar to personnel is created, which prevents the occurrence of space sickness",""
"build_axisTooltip","An axis connects station segments to each other.",""
"build_solarPanelTooltip","Solar panels generate power during the day.",""
"build_batteryTooltip","At night batteries power the station with energy accumulated during the day. Solar flares lead to partial discharge of batteries.",""
"build_tankTooltip","Liquids and gases are stored in pressurized sealed tanks.",""
"build_dockTooltip","Shuttle dock","GT: Potentially adjust based on context?"
"build_thrusterToolip","Thrusters are needed to move a station in a desired direction.",""
"build_chemicalEngineTooltip","Chemical engine running on chemical fuel
Gas flow speed: {flow_speed} km/s
Fuel consumption {flow_rate} kg/s
Thrust {thrust} kN",""
"build_nuclearEngineTooltip","Nuclear engine. Powered by heating the working fluid of an intranuclear reaction
Gas flow speed: {flow_speed} km/s
Fuel consumption {flow_rate} kg/s
Thrust {thrust} kN",""
"build_recombinationEngineTooltip","Recombination engine. Uses the energy of recombining atoms into molecules
Gas flow speed: {flow_speed} km/s
Fuel consumption {flow_rate} kg/s
Thrust {thrust} kN",""
"build_termonuclearEngineTooltip","Thermonuclear engine. Works by heating the working fluid with plasma in which thermonuclear fusion processes take place
Gas flow speed: {flow_speed} km/s
Fuel consumption {flow_rate} kg/s
Thrust {thrust} kN",""
"build_photonEngineTooltip","Photon engine. Powered by the annihilation of matter and antimatter
Gas flow speed: {flow_speed} km/s
Fuel consumption {flow_rate} kg/s
Thrust {thrust} kN",""
"build_required_","Requirements:",""
"build_caption","Construction",""
"build_cages","Each room can be built from blocks of different types. Some characteristics of the room and their appearance depend on the type of block",""
"build_walkway","Pedestrian walkways make it comfortable for colonists to move between buildings and also create a flat surface on which various equipment can be placed,",""
"build_finish","Close",""
"cargo_name","Name",""
"cargo_count","Quantity",""
"cargo_cost","Cost",""
"colony_mineralResources","Minerals",""
"colony_radiation","Radiation",""
"colony_sunriseThrough","Sunrise in",""
"colony_sunsetThrough","Sunset in",""
"colony_acceptColonists","Accept colonists",""
"colony_reject","Reject",""
"colony_newAvailable","New equipment available",""
"colony_goto","Switch to the station",""
"colony_shuttles","{count} shuttle(s) after {period}",""
"place_hallway","Hallway",""
"place_gateway","Airlock",""
"place_apartment","Apartment",""
"place_workshop","Industrial Zone",""
"place_cafe","Cooking",""
"place_mine","Mining",""
"place_farm","Farm",""
"place_recreation","Relax",""
"place_storage","Storage",""
"place_power","Power plant",""
"place_hospital","Hospital",""
"place_laboratory","Research",""
"place_servers","Server room",""
"place_teleport","Node",""
"room_pressure","Pressure",""
"room_electricity","Electricity {power}⚡",""
"room_assignStaf","Assign staff","GT: Potentially change to ""Assign Staff to Room"""
"room_ceil","Ceiling",""
"room_floor","Floor",""
"storage","Warehouse",""
"storage_availability","Availability",""
"storage_production","Warehouse parameters",""
"storage_purchase","Purchase",""
"storage_sell","Sell",""
"storage_throw","Discard",""
"storage_post","Send","GT: Potentially change to ""Send to {x}""?"
"furniture","Equipment",""
"furniture_serviceability","Serviceability",""
"furniture_composition","Components:","GT: Changed from ""Composition:"" to ""Components:"" based on the ""furniture"" tag, where Composition would only be used for unrefined minerals. Feel free to revert"
"furniture_deconstruct","Disassemble",""
"events","Events",""
"event_notHappy","The staff is unhappy.",""
"event_energy","Not enough energy to cover the colony's current needs",""
"event_battery","Not enough energy to cover the colony's daily needs",""
