"source","target","developer_comments"
"about","Dieses Spiel wurde von {author} erstellt
Besonderer Dank geht an
{gratitude}
Bei der Erstellung wurden die folgenden Quellen verwendet:
{sources}
geistiges Eigentum:
{copyrights}",""
"mod_sandbox","Sandbox (sehr schwierig)",""
"mod_station_earth","Erdnahe Station",""
"mod_station_moon","Mondstation",""
"mod_all_allow","Alles ist erlaubt",""
"mod_all_researched","Alles wurde erforscht",""
"mod_fuel_regeneration","Kraftstoff Regeneration",""
"accept","Akzeptieren",""
"cancel","Abbrechen",""
"close","Schließen","aa"
"exit","Beenden",""
"loading","Laden...",""
"menu_game","Spiel",""
"menu_continue","Fortfahren:",""
"menu_newGame","Neues Spiel",""
"menu_mods","Modifikationen",""
"menu_language","Sprache (Language)",""
"menu_video_settings","Grafikeinstellungen",""
"menu_about","Über dieses Spiel",""
"video_windowMode","Fenstermodus",""
"video_fullScreen","Vollbild",""
"video_windowed","Im Fenster",""
"video_fullscreenType","Vollbild-Typ",""
"video_maximizedWindow","Vollbild",""
"video_nativeFullscreen","Exklusiver Vollbildmodus",""
"video_displayResolution","Auflösung",""
"video_3dResolution","Render-Auflösung",""
"video_frameRateLimit","Bildratenlimit",""
"video_30FPS","30 Bilder pro Sekunde",""
"video_60FPS","60 Bilder pro Sekunde",""
"video_120FPS","120 Bilder pro Sekunde",""
"video_unlimited","unbegrenzt",""
"video_verticalSync","Vertikale Synchronisierung",""
"video_overallQualityPreset","Grafikqualität",""
"video_low","Niedrig",""
"video_medium","Mittel",""
"video_high","Hoch",""
"video_epic","Episch",""
"video_custom","Benutzerdefiniert",""
"video_customQualitySettings","Benutzerdefinierte Grafikeinstellungen anpassen",""
"video_viewDistance","Sichtweite",""
"video_near","Nähe",""
"video_far","Weite",""
"video_visualEffects","Visuelle Effekte",""
"video_shadows","Schatten",""
"video_textures","Texturen",""
"video_postProcessing","Nachbearbeitung",""
"video_antiAliasing","Anti-Aliasing",""
"video_foliage","Vegetation",""
"video_autoDetect","Automatische Erkennung",""
"char_characteristics","Eigenschaften",""
"char_health","Gesundheit",""
"char_morale","Stimmung",""
"char_fatigue","Müdigkeit",""
"char_hunger","Hunger",""
"char_wear","Verschleiß",""
"char_charge","Ladung",""
"char_needs","Bedürfnisse",""
"char_relax_","Entspannung",""
"char_now","Jetzt ",""
"char_command","Anweisung",""
"char_none","Keiner",""
"char_nowhereToSit","Es gibt keinen Platz zum Sitzen",""
"char_wantsToSleep","Schläfrig",""
"char_hungry","Hungrig",""
"char_cantSeeAnything","Sieht nichts",""
"char_Ill","Krank",""
"char_itsHardToBreathe","Erstickt",""
"char_broken","Defekt",""
"char_need_charge","Akku leer",""
"staff","Personal",""
"staff_newStaff","Neues Personal",""
"staff_recruit","Einstellen",""
"staff_buyRobot","Einen Roboter kaufen",""
"staff_buyFarmer","Einen Farmroboter kaufen",""
"staff_buyCook","Einen Küchenroboter kaufen",""
"staff_relax_","Ausruhen",""
"buy_robot_caption","Einen Roboter kaufen",""
"buy_robot_text","Ein Roboter kostet {cost}
Kaufen?",""
"robot_arrive_caption","Roboter unterwegs",""
"robot_arrive_text","Der Roboter wird mit einem Shuttle zu dieser Station gebracht.",""
"build_dismantlingTooltip","Gebäude zerlegen",""
"build_pillarsTooltip","Die Stützen werden auf den Boden gestellt und tragen das Gewicht von Gebäuden und Gehwegen.",""
"build_stairsTooltip","Treppen können sowohl im Außen- wie auch im Innenbereich installiert werden.",""
"build_doorsTooltip","Türe einbauen. Wähle den Ort aus, an dem die Tür eingebaut werden soll, und klicke mit der linken Maustaste. Erneutes Drücken - Demontage der Tür.",""
"build_floorTooltip","Durch Zwischendecken kann ein Raum in mehrere Stockwerke unterteilt werden.",""
"build_sectionTooltip","Feste Abschnitte. Der Mangel an Schwerkraft wird durch magnetische Böden ausgeglichen. Wird hauptsächlich für Landeplätze, die Installation von Solarpaneelen, Tanks, Antennen und Motoren verwendet. Kann für Wohn- und andere Räumlichkeiten verwendet werden, aber der Mangel an Schwerkraft führt zu Platz Krankheit des Personals",""
"build_whellTooltip","In den rotierenden Abschnitten entsteht eine dem Personal vertraute Schwerkraft, die das Auftreten von Weltraumkrankheit verhindert.",""
"build_axisTooltip","Die Achse verbindet die Stationssegmente miteinander.",""
"build_solarPanelTooltip","Sonnenkollektoren erzeugen tagsüber Strom.",""
"build_batteryTooltip","Batterien versorgen die Station nachts mit Energie, die sie am Tag angesammelt haben. Sonneneruptionen führen zu einer teilweise Entladung der Batterien.",""
"build_tankTooltip","Flüssigkeiten und Gase werden in versiegelten Hochdruckbehältern gelagert.",""
"build_dockTooltip","Shuttle-Dockingstation",""
"build_thrusterToolip","Manövriertriebwerke werden benötigt, um die Station auszurichten",""
"build_chemicalEngineTooltip","Chemischer Motor, der mit chemischem Kraftstoff betrieben wird
Gasströmungsgeschwindigkeit: {flow_speed} km/s
Kraftstoffverbrauch {flow_rate} kg/s
Schub {thrust} kN",""
"build_nuclearEngineTooltip","Nuklearer Motor. Angetrieben durch Erhitzen des Arbeitsmediums einer intranuklearen Reaktion
Gasströmungsgeschwindigkeit: {flow_speed} km/s
Kraftstoffverbrauch {flow_rate} kg/s
Schub {thrust} kN",""
"build_recombinationEngineTooltip","Rekombinations-Antrieb. Nutzt die Energie der Rekombination von Atomen zu Molekülen
Gasströmungsgeschwindigkeit: {flow_speed} km/s
Kraftstoffverbrauch {flow_rate} kg/s
Schub {thrust} kN",""
"build_termonuclearEngineTooltip","Thermonuklearer Motor. Funktioniert durch Erhitzen des Arbeitsmediums mit Plasma, in dem thermonukleare Fusionsprozesse stattfinden
Gasströmungsgeschwindigkeit: {flow_speed} km/s
Kraftstoffverbrauch {flow_rate} kg/s
Schub {thrust} kN",""
"build_photonEngineTooltip","Photonen-Antrieb. Angetrieben durch die Vernichtung von Materie und Antimaterie
Gasströmungsgeschwindigkeit: {flow_speed} km/s
Kraftstoffverbrauch {flow_rate} kg/s
Schub {thrust} kN",""
"build_required_","Erforderlich:",""
"build_caption","Bauen",""
"build_cages","Jeder Raum kann aus Blöcken verschiedener Typen gebaut werden. Einige Eigenschaften des Raums und ihr Aussehen hängen von der Art des Blocks ab",""
"build_walkway","Fußgängerwege machen es Kolonisten bequem, sich zwischen Gebäuden zu bewegen und schaffen außerdem eine ebene Fläche, auf der verschiedene Geräte platziert werden können.",""
"build_finish","Bau beenden",""
"cargo_name","Name",""
"cargo_count","Anzahl",""
"cargo_cost","Kosten",""
"colony_mineralResources","Mineralien",""
"colony_radiation","Strahlung",""
"colony_sunriseThrough","Sonnenaufgang in",""
"colony_sunsetThrough","Sonnenuntergang in",""
"colony_acceptColonists","Kolonisten aufnehmen",""
"colony_reject","Ablehnen",""
"colony_newAvailable","Neue Hardware verfügbar",""
"colony_goto","Zur Station",""
"colony_shuttles","{count} Shuttles in {period}",""
"place_hallway","Korridor",""
"place_gateway","Luftschleuse",""
"place_apartment","Wohnraum",""
"place_workshop","Fabrikation",""
"place_cafe","Kochen",""
"place_mine","Bergbau",""
"place_farm","Gewächshaus",""
"place_recreation","Ruhe",""
"place_storage","Lager",""
"place_power","Kraftwerk",""
"place_hospital","Krankenstation",""
"place_laboratory","Forschung",""
"place_servers","Server",""
"place_teleport","Teleporter",""
"room_pressure","Druck",""
"room_electricity","Elektrizität {power}⚡",""
"room_assignStaf","Zugewiesene Kolonisten",""
"room_ceil","Decke",""
"room_floor","Boden",""
"storage","Lager",""
"storage_availability","Verfügbarkeit",""
"storage_production","Lagerparameter",""
"storage_purchase","Kauf",""
"storage_sell","Verkaufen",""
"storage_throw","Beseitigen",""
"storage_post","Verbuchen",""
"furniture","Ausstattung",""
"furniture_serviceability","Gebrauchsmöglichkeit",""
"furniture_composition","Beschaffenheit",""
"furniture_deconstruct","Entfernen",""
"events","Ereignisse",""
"event_notHappy","Kolonisten sind unzufrieden",""
"event_energy","Nicht genug Energie für den aktuellen Bedarf der Kolonie",""
"event_battery","Nicht genug Energie für den täglichen Bedarf der Kolonie",""
"event_storage","Das Lager ist voll.",""
"event_tank","Die Behälter für Flüssigkeiten und Gase sind voll.",""
"event_hungry","Kolonisten sind hungrig.",""
"event_oxygen","Sauerstoffmangel",""
"event_cantSit","Es gibt keine Sitzmöglichkeiten für das Personal",""
"event_cantSleep","Das Personal hat keinen Platz zum schlafen",""
"event_ill","Das Personal ist krank",""
"event_broken","Roboter sind kaputt",""
"event_radiation","Erhöhte Strahlungswerte auf dem Koloniegelände",""
"event_meteors","Meteorschauer",""
"event_scientist","Die Effizienz der Forscher wurde reduziert",""
"event_devices","Die Leistung der wissenschaftlichen Geräte wurde reduziert",""
"event_computing","Die Rechenleistung wurde reduziert",""
