"source","target","developer_comments"
"about","このゲームは{author}によって作成されました。
スペシャルサンクス：
{gratitude}
作成には次のソースが使用されました：
{sources}
著作権：
{copyrights}",""
"mod_sandbox","揺りかごから（ベリーハード）",""
"mod_station_earth","地球近傍ステーション",""
"mod_station_moon","月近傍ステーション",""
"mod_all_allow","すべて許可",""
"mod_all_researched","すべて調査済み",""
"mod_fuel_regeneration","燃料の回復",""
"accept","OK",""
"cancel","キャンセル",""
"close","閉じる",""
"exit","終了",""
"loading","ローディング...",""
"menu_game","ゲーム",""
"menu_continue","続きから",""
"menu_newGame","ニューゲーム",""
"menu_mods","パラメータ",""
"menu_language","言語 (Language)",""
"menu_video_settings","グラフィック設定",""
"menu_about","Solargeneについて",""
"video_windowMode","ウィンドウモード",""
"video_fullScreen","フルスクリーン",""
"video_windowed","ウィンドウ",""
"video_fullscreenType","フルスクリーン方式",""
"video_maximizedWindow","最大化ウィンドウ",""
"video_nativeFullscreen","ネイティブフルスクリーン",""
"video_displayResolution","解像度",""
"video_3dResolution","3D解像度",""
"video_frameRateLimit","フレームレート制限",""
"video_30FPS","30 FPS",""
"video_60FPS","60 FPS",""
"video_120FPS","120 FPS",""
"video_unlimited","無制限",""
"video_verticalSync","垂直同期",""
"video_overallQualityPreset","品質プリセット",""
"video_low","低",""
"video_medium","中",""
"video_high","高",""
"video_epic","エピック",""
"video_custom","カスタム",""
"video_customQualitySettings","グラフィックスパラメータのカスタマイズ",""
"video_viewDistance","描画距離",""
"video_near","近",""
"video_far","遠",""
"video_visualEffects","エフェクト",""
"video_shadows","影",""
"video_textures","テクスチャ",""
"video_postProcessing","ポストプロセッシング",""
"video_antiAliasing","アンチエイリアシング",""
"video_foliage","木の葉",""
"video_autoDetect","自動検出",""
"char_characteristics","特性",""
"char_health","健康",""
"char_morale","気分",""
"char_fatigue","疲労",""
"char_hunger","空腹",""
"char_wear","損耗状態","shobel:Wear/износは「摩耗」という和訳もできますがどうでしょうか。"
"char_charge","充電",""
"char_needs","欲求",""
"char_relax_","休息",""
"char_now","今 ",""
"char_command","移動を指示","shobel:Командировать/Commandは「指示」という和訳もできますがどうでしょうか。
tacostea: 良いと思います。反映しました。"
"char_none","いいえ",""
"char_nowhereToSit","座る場所がない",""
"char_wantsToSleep","眠りたい",""
"char_hungry","空腹",""
"char_cantSeeAnything","暗闇にいる",""
"char_Ill","病気",""
"char_itsHardToBreathe","酸欠状態",""
"char_broken","故障している",""
"char_need_charge","充電が必要",""
"staff","スタッフ",""
"staff_newStaff","新しいスタッフ",""
"staff_recruit","雇用する",""
