"source","target","developer_comments"
"about","이 게임은 {author}에 의해 제작되었습니다
특별한 감사
{gratitude}
제작에 사용된 자료:
{sources}
저작권:
{copyrights}",""
"mod_sandbox","요람에서 (매우 어려움)",""
"mod_station_earth","지구 궤도 정거장",""
"mod_station_moon","달 궤도 정거장",""
"mod_all_allow","모든 것 허용",""
"mod_all_researched","모든 연구 완료",""
"mod_fuel_regeneration","연료 재생",""
"accept","수락",""
"cancel","취소",""
"close","닫기",""
"exit","종료",""
"loading","로딩 중...",""
"menu_game","게임",""
"menu_continue","계속하기:",""
"menu_newGame","새 게임",""
"menu_mods","설정:",""
"menu_language","언어 (Language)",""
"menu_video_settings","그래픽 설정",""
"menu_about","게임 정보",""
"video_windowMode","창 모드",""
"video_fullScreen","전체 화면",""
"video_windowed","창 모드",""
"video_fullscreenType","전체 화면",""
"video_maximizedWindow","전체 화면",""
"video_nativeFullscreen","독점 전체 화면",""
"video_displayResolution","해상도",""
"video_3dResolution","렌더링 스케일",""
"video_frameRateLimit","프레임 속도 제한",""
"video_30FPS","초당 30프레임",""
"video_60FPS","초당 60프레임",""
"video_120FPS","초당 120프레임",""
"video_unlimited","제한 없음",""
"video_verticalSync","수직 동기화",""
"video_overallQualityPreset","그래픽 품질",""
"video_low","낮음",""
"video_medium","중간",""
"video_high","높음",""
"video_epic","울트라",""
"video_custom","사용자 정의",""
"video_customQualitySettings","그래픽 설정 사용자 정의",""
"video_viewDistance","렌더링 거리",""
"video_near","가까움",""
"video_far","멈",""
"video_visualEffects","시각 효과",""
"video_shadows","그림자",""
"video_textures","텍스처",""
"video_postProcessing","후처리",""
"video_antiAliasing","안티앨리어싱",""
"video_foliage","식물",""
"video_autoDetect","자동 설정",""
"char_characteristics","특성",""
"char_health","건강",""
"char_morale","사기",""
"char_fatigue","피로",""
"char_hunger","배고픔",""
"char_wear","마모",""
"char_charge","충전",""
"char_needs","필요 사항",""
"char_relax_","휴식",""
"char_now","현재",""
"char_command","지휘",""
"char_none","없음",""
"char_nowhereToSit","앉을 곳 없음",""
"char_wantsToSleep","잠을 자고 싶음",""
"char_hungry","배고픔",""
"char_cantSeeAnything","아무것도 보이지 않음",""
"char_Ill","아픔",""
"char_itsHardToBreathe","숨쉬기 어려움",""
"char_broken","고장남",""
"char_need_charge","충전 필요",""
"staff","직원",""
"staff_newStaff","새 직원",""
"staff_recruit","고용",""
"staff_buyRobot","로봇 구매",""
"staff_buyFarmer","농부",""
