"source","target","developer_comments"
"about","este jogo foi criado por {author}
Agradecimentos especiais
{gratitude}
As seguintes fontes foram usadas durante a criação:
{sources}
Direito autoral:
{copyrights}",""
"mod_sandbox","do berço (muito difícil)",""
"mod_station_earth","estação próxima à Terra",""
"mod_station_moon","Estação circunvizinha",""
"mod_all_allow","tudo é permitido",""
"mod_all_researched","tudo investigado",""
"mod_fuel_regeneration","regeneração de combustível",""
"accept","aceitar",""
"cancel","Cancelar",""
"close","fechar",""
"exit","saída",""
"loading","Carregando...",""
"menu_game","jogo",""
"menu_continue","continuar:",""
"menu_newGame","Novo Jogo",""
"menu_mods","opções:",""
"menu_language","Idioma (Language)",""
"menu_video_settings","configurações gráficas",""
"menu_about","sobre o jogo",""
"video_windowMode","modo de janela",""
"video_fullScreen","ecrã inteiro",""
"video_windowed","na janela",""
"video_fullscreenType","Tela cheia",""
"video_maximizedWindow","Full Screen",""
"video_nativeFullscreen","Cheio,Ecrã Cheio Exclusivo",""
"video_displayResolution","Resolução",""
"video_3dResolution","escala de renderização",""
"video_frameRateLimit","Limite da taxa de fotogramas",""
"video_30FPS","30 frames por segundo",""
"video_60FPS","60 frames por segundo",""
"video_120FPS","120 frames por segundo",""
"video_unlimited","ilimitado",""
"video_verticalSync","Sincronização vertical",""
"video_overallQualityPreset","qualidade gráfica",""
"video_low","baixo",""
"video_medium","Médio",""
"video_high","alto",""
"video_epic","Max",""
"video_custom","outros",""
"video_customQualitySettings","Configuração seletiva das configurações gráficas",""
"video_viewDistance","visibilidade",""
"video_near","perto",""
"video_far","longe",""
"video_visualEffects","efeitos",""
"video_shadows","sombras",""
"video_textures","texturas",""
"video_postProcessing","pós-processamento",""
"video_antiAliasing","suavização",""
"video_foliage","vegetação",""
"video_autoDetect","detecção automática",""
"char_characteristics","características",""
"char_health","saúde",""
"char_morale","Humor",""
"char_fatigue","fadiga",""
"char_hunger","fome",""
"char_wear","desgaste",""
"char_charge","carga",""
"char_needs","necessidades",""
"char_relax_","descanso",""
"char_now","agora ",""
"char_command","comando",""
"char_none","não",""
"char_nowhereToSit","não há lugar para se sentar",""
"char_wantsToSleep","quer dormir",""
"char_hungry","com fome",""
"char_cantSeeAnything","não vê nada",""
"char_Ill","doente",""
"char_itsHardToBreathe","é difícil respirar",""
"char_broken","quebrado",""
"char_need_charge","carregamento necessário",""
"staff","pessoal",""
"staff_newStaff","nova equipa",""
"staff_recruit","contratar",""
"staff_buyRobot","comprar um robô",""
"staff_buyFarmer","jardineiro",""
"staff_buyCook","cozinheiros",""
"staff_relax_","descanso",""
"buy_robot_caption","comprar um robô",""
"buy_robot_text","custo do robô {cost}
Comprar?",""
"robot_arrive_caption","robô a caminho",""
"robot_arrive_text","o robô será levado de ônibus para esta estação",""
"build_dismantlingTooltip","desmontar edifícios",""
"build_pillarsTooltip","os suportes são colocados no chão e suportam o peso de edifícios e passarelas",""
"build_stairsTooltip","as escadas podem ser instaladas tanto no exterior como no interior",""
"build_doorsTooltip","instalação de portas. Selecione o local em que deseja instalar a porta e pressione o botão esquerdo do mouse. Pressionando novamente-desmontando a porta",""
"build_floorTooltip","os pisos podem ser divididos em vários andares",""
"build_sectionTooltip","Seções fixas. A falta de gravidade é compensada por pisos magnéticos. Usado principalmente para plataformas de pouso, instalação de painéis solares, tanques, antenas e motores. Pode ser usado para instalações residenciais e outras, mas a falta de gravidade leva ao espaço doença entre o pessoal",""
"build_whellTooltip","Nas seções rotativas, é criada uma força gravitacional familiar ao pessoal, que evita a ocorrência de enjôo espacial",""
"build_axisTooltip","o eixo conecta os segmentos da estação entre si",""
"build_solarPanelTooltip","painéis solares geram eletricidade durante o dia",""
"build_batteryTooltip","as baterias à noite alimentam a estação com a energia acumulada durante o dia. Flashes ao sol fazem com que as baterias sejam parcialmente descarregadas.",""
"build_tankTooltip","líquidos e gases são armazenados em tanques selados de alta pressão",""
"build_dockTooltip","nó de ancoragem do vaivém",""
"build_thrusterToolip","são necessários motores de manobra para orientar a estação na direção certa",""
"build_chemicalEngineTooltip","Motor químico funcionando com combustível químico
Velocidade do fluxo de gás: {flow_speed} km/s
Consumo de combustível {flow_rate} kg/s
Impulso {thrust} kN",""
"build_nuclearEngineTooltip","Motor nuclear. Alimentado pelo aquecimento do fluido de trabalho de uma reação intranuclear
Velocidade do fluxo de gás: {flow_speed} km/s
Consumo de combustível {flow_rate} kg/s
Impulso {thrust} kN",""
"build_recombinationEngineTooltip","Mecanismo de recombinação. Usa a energia de recombinação de átomos em moléculas
Velocidade do fluxo de gás: {flow_speed} km/s
Consumo de combustível {flow_rate} kg/s
Impulso {thrust} kN",""
"build_termonuclearEngineTooltip","Motor termonuclear. Funciona aquecendo o fluido de trabalho com plasma no qual ocorrem os processos de fusão termonuclear
Velocidade do fluxo de gás: {flow_speed} km/s
Consumo de combustível {flow_rate} kg/s
Impulso {thrust} kN",""
"build_photonEngineTooltip","Motor Photon. Alimentado pela aniquilação de matéria e antimatéria
Velocidade do fluxo de gás: {flow_speed} km/s
Consumo de combustível {flow_rate} kg/s
Impulso {thrust} kN",""
"build_required_","necessário:",""
"build_caption","Construção",""
"build_cages","Cada sala pode ser construída a partir de blocos de diferentes tipos. Algumas características da sala e sua aparência dependem do tipo de bloco",""
"build_walkway","As passarelas para pedestres tornam confortável a movimentação dos colonos entre os edifícios e também criam uma superfície plana na qual vários equipamentos podem ser colocados,",""
"build_finish","terminar a construção",""
"cargo_name","nome",""
"cargo_count","quantidade",""
"cargo_cost","custo",""
"colony_mineralResources","minerais",""
"colony_radiation","radiação",""
"colony_sunriseThrough","nascer do sol através",""
"colony_sunsetThrough","Pôr do sol através de",""
"colony_acceptColonists","aceitar colonos",""
"colony_reject","recusar",""
"colony_newAvailable","novo hardware disponível",""
"colony_goto","ir para a estação",""
"colony_shuttles","{count} shuttles via {period}",""
"place_hallway","corredor",""
"place_gateway","Gateway",""
"place_apartment","habitação",""
"place_workshop","produção industrial",""
